ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2026-05-12,3.2488,-1.75,-0.058,
BAC,2026-05-13,3.0361,-6.55,-0.2127,
BAC,2026-05-14,2.9394,-3.18,-0.0967,
BAC,2026-05-15,2.9974,1.97,0.058,
BAC,2026-05-18,2.8621,-4.52,-0.1354,
BAC,2026-05-19,2.9491,3.04,0.087,
BAC,2026-05-20,2.8911,-1.97,-0.058,
BAC,2026-05-21,2.8911,0.0,0.0,
BAC,2026-05-22,2.9394,1.67,0.0483,
BAC,2026-05-25,2.8621,-2.63,-0.0774,
BAC,2026-05-26,2.804,-2.03,-0.058,
BAC,2026-05-27,2.9491,5.17,0.145,
BAC,2026-05-28,2.8621,-2.95,-0.087,
BAC,2026-05-29,2.8621,0.0,0.0,
BAC,2026-06-01,2.8427,-0.68,-0.0193,
BAC,2026-06-02,2.8814,1.36,0.0387,
BAC,2026-06-03,2.8621,-0.67,-0.0193,
BAC,2026-06-05,2.8621,0.0,0.0,
BAC,2026-06-08,2.63,-8.11,-0.2321,
BAC,2026-06-09,2.7,2.66,0.07,
BAC,2026-06-10,2.7,0.0,0.0,
BAC,2026-06-11,2.6,-3.7,-0.1,
BAC,2026-06-12,2.84,9.23,0.24,
BAC,2026-06-15,2.98,4.93,0.14,
BAC,2026-06-16,2.98,0.0,0.0,
BAC,2026-06-17,2.9,-2.68,-0.08,
BAC,2026-06-18,3.2,10.34,0.3,
BAC,2026-06-19,3.46,8.12,0.26,
BAC,2026-06-22,3.5,1.16,0.04,
BAC,2026-06-23,3.78,8.0,0.28,
BAC,2026-06-24,3.7,-2.12,-0.08,
BAC,2026-06-25,3.74,1.08,0.04,
BAC,2026-06-26,3.62,-3.21,-0.12,
BAC,2026-06-29,3.55,-1.93,-0.07,
BAC,2026-06-30,3.88,9.3,0.33,
BAC,2026-07-01,3.87,-0.26,-0.01,
BAC,2026-07-02,3.92,1.29,0.05,
BAC,2026-07-03,3.79,-3.32,-0.13,
BAC,2026-07-06,3.89,2.64,0.1,
BAC,2026-07-07,3.87,-0.51,-0.02,
BAC,2026-07-08,3.74,-3.36,-0.13,
BAC,2026-07-09,3.46,-7.49,-0.28,
BAC,2026-07-10,3.72,7.51,0.26,
BAC,2026-07-13,3.75,0.81,0.03,
BAC,2026-07-14,3.77,0.53,0.02,
BAC,2026-07-15,3.6,-4.51,-0.17,
BAC,2026-07-16,3.6,0.0,0.0,
BAC,2026-07-17,3.62,0.56,0.02,
BAC,2026-07-20,3.62,0.0,0.0,
BAC,2026-07-21,3.52,-2.76,-0.1,
BAC,2026-07-22,3.6,2.27,0.08,
BAC,2026-07-23,3.44,-4.44,-0.16,
BAC,2026-07-24,3.54,2.91,0.1,
BAC,2026-07-27,3.59,1.41,0.05,
BAC,2026-07-28,3.46,-3.62,-0.13,
BAC,2026-07-29,3.44,-0.58,-0.020000000000000018,nc
BAC,2026-07-30,3.4,-1.16,-0.040000000000000036,nc
BAC,2026-07-31,3.43,0.88,0.03000000000000025,nc
BAC,2026-08-03,3.38,-1.46,-0.050000000000000266,nc
BAC,2026-08-04,3.66,8.28,0.28000000000000025,nc
BAC,2026-08-05,3.7,1.09,0.040000000000000036,nc
