ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2024-07-09,1.7727,-2.56,-0.0467,
BAC,2024-07-10,1.8147,2.37,0.042,
BAC,2024-07-11,1.8753,3.34,0.0606,
BAC,2024-07-12,1.866,-0.5,-0.0093,
BAC,2024-07-15,1.8473,-1.0,-0.0187,
BAC,2024-07-16,1.754,-5.05,-0.0933,
BAC,2024-07-17,1.7538,-0.01,-0.0002,
BAC,2024-07-18,1.754,0.01,0.0002,
BAC,2024-07-19,1.6812,-4.15,-0.0728,
BAC,2024-07-22,1.8566,10.43,0.1754,
BAC,2024-07-23,1.8063,-2.71,-0.0504,
BAC,2024-07-24,1.7913,-0.83,-0.0149,
BAC,2024-07-25,1.7522,-2.19,-0.0392,
BAC,2024-07-26,1.7503,-0.11,-0.0019,
BAC,2024-07-29,1.7818,1.8,0.0315,
BAC,2024-07-30,1.7913,0.53,0.0095,
BAC,2024-07-31,1.7904,-0.05,-0.0009,
BAC,2024-08-01,1.8003,0.55,0.0099,
BAC,2024-08-02,1.7092,-5.06,-0.0911,
BAC,2024-08-05,1.7354,1.53,0.0261,
BAC,2024-08-06,1.7354,0.0,0.0,
BAC,2024-08-07,1.7727,2.15,0.0373,
BAC,2024-08-08,1.7354,-2.1,-0.0373,
BAC,2024-08-09,1.7213,-0.81,-0.014,
BAC,2024-08-12,1.7167,-0.27,-0.0047,
BAC,2024-08-13,1.7391,1.3,0.0224,
BAC,2024-08-14,1.7242,-0.86,-0.0149,
BAC,2024-08-16,1.7391,0.87,0.0149,
BAC,2024-08-19,1.6327,-6.12,-0.1064,
BAC,2024-08-20,1.5749,-3.54,-0.0578,
BAC,2024-08-21,1.5655,-0.59,-0.0093,
BAC,2024-08-22,1.5432,-1.43,-0.0224,
BAC,2024-08-23,1.5334,-0.63,-0.0097,
BAC,2024-08-26,1.5114,-1.44,-0.022,
BAC,2024-08-27,1.5374,1.72,0.0259,
BAC,2024-08-28,1.5348,-0.17,-0.0026,
BAC,2024-08-29,1.5096,-1.64,-0.0252,
BAC,2024-08-30,1.5114,0.12,0.0019,
BAC,2024-09-02,1.4816,-1.98,-0.0299,
BAC,2024-09-03,1.4461,-2.39,-0.0355,
BAC,2024-09-04,1.4364,-0.67,-0.0097,
BAC,2024-09-05,1.4368,0.03,0.0004,
BAC,2024-09-06,1.4362,-0.04,-0.0006,
BAC,2024-09-09,1.4405,0.3,0.0043,
BAC,2024-09-10,1.4508,0.71,0.0103,
BAC,2024-09-11,1.4461,-0.32,-0.0047,
BAC,2024-09-12,1.4415,-0.32,-0.0047,
BAC,2024-09-13,1.4411,-0.03,-0.0004,
BAC,2024-09-16,1.4275,-0.95,-0.0136,
BAC,2024-09-17,1.4275,0.0,0.0,
BAC,2024-09-18,1.3995,-1.96,-0.028,
BAC,2024-09-19,1.4275,2.0,0.028,
BAC,2024-09-20,1.3995,-1.96,-0.028,
BAC,2024-09-23,1.4407,2.95,0.0412,
BAC,2024-09-24,1.4928,3.61,0.0521,
BAC,2024-09-25,1.4909,-0.13,-0.0019,
BAC,2024-09-26,1.4834,-0.5,-0.0075,
BAC,2024-09-27,1.4833,-0.01,-0.0002,
BAC,2024-09-30,1.4554,-1.87,-0.0278,
BAC,2024-10-01,1.4543,-0.08,-0.0011,
BAC,2024-10-02,1.4723,1.23,0.0179,
BAC,2024-10-03,1.5114,2.66,0.0392,
BAC,2024-10-04,1.5096,-0.12,-0.0019,
BAC,2024-10-07,1.4928,-1.11,-0.0168,
BAC,2024-10-08,1.4834,-0.63,-0.0093,
BAC,2024-10-09,1.4834,0.0,0.0,
BAC,2024-10-10,1.5376,3.65,0.0541,
BAC,2024-10-11,1.532,-0.36,-0.0056,
BAC,2024-10-14,1.5295,-0.16,-0.0024,
BAC,2024-10-15,1.5208,-0.57,-0.0088,
BAC,2024-10-16,1.4791,-2.74,-0.0416,
BAC,2024-10-17,1.4648,-0.97,-0.0144,
BAC,2024-10-18,1.4648,0.0,0.0,
BAC,2024-10-21,1.4834,1.27,0.0187,
BAC,2024-10-22,1.5105,1.82,0.0271,
BAC,2024-10-23,1.5534,2.84,0.0429,
BAC,2024-10-24,1.6495,6.19,0.0961,
BAC,2024-10-25,1.6475,-0.12,-0.0021,
BAC,2024-10-28,1.6448,-0.16,-0.0026,
BAC,2024-10-29,1.6187,-1.59,-0.0261,
BAC,2024-10-30,1.6161,-0.16,-0.0026,
BAC,2024-10-31,1.6327,1.03,0.0166,
BAC,2024-11-04,1.7725,8.56,0.1398,
BAC,2024-11-05,1.726,-2.62,-0.0465,
